Date,Close
5/9/2018,41.78
5/10/2018,42.18
5/11/2018,42.14
5/14/2018,42.04
5/15/2018,41.72
5/16/2018,41.55
5/17/2018,42.3
5/18/2018,42.3
5/21/2018,42.41
5/22/2018,42.25
5/23/2018,42.4
5/24/2018,42.32
5/25/2018,42.4
5/29/2018,42.68
5/30/2018,43.13
5/31/2018,43
6/1/2018,43.12
6/4/2018,43.49
6/5/2018,43.11
6/6/2018,43.46
6/7/2018,43.44
6/8/2018,43.95
6/11/2018,44.13
6/12/2018,44.41
6/13/2018,44.18
6/14/2018,43.58
6/15/2018,44.12
6/18/2018,43.55
6/19/2018,43.6
6/20/2018,43.26
6/21/2018,43.09
6/22/2018,43.25
6/25/2018,43.58
6/26/2018,43.33
6/27/2018,43.07
6/28/2018,43.47
6/29/2018,43.86
7/2/2018,43.75
7/3/2018,43.99
7/5/2018,44.66
7/6/2018,44.64
7/9/2018,44.4
7/10/2018,44.97
7/11/2018,44.79
7/12/2018,44.67
7/13/2018,44.74
7/16/2018,44.73
7/17/2018,45.25
7/18/2018,45.12
7/19/2018,45.11
7/20/2018,45.28
7/23/2018,44.95
7/24/2018,45.26
7/25/2018,46.09
7/26/2018,46.24
7/27/2018,46.21
7/30/2018,46.23
7/31/2018,46.63
8/1/2018,46.39
8/2/2018,46.18
8/3/2018,46.62
8/6/2018,46.65
8/7/2018,46.5
8/8/2018,46.15
8/9/2018,46.35
8/10/2018,46.08
8/13/2018,45.83
8/14/2018,45.89
8/15/2018,46.08
8/16/2018,46.22
8/17/2018,46.6
8/20/2018,46.73
8/21/2018,46.22
8/22/2018,45.93
8/23/2018,45.7
8/24/2018,45.63
8/27/2018,45.69
8/28/2018,45.37
8/29/2018,45.33
8/30/2018,44.95
8/31/2018,44.57
9/4/2018,44.76
9/5/2018,45.38
9/6/2018,45.77
9/7/2018,45.72
9/10/2018,46.06
9/11/2018,46.02
9/12/2018,46.24
9/13/2018,45.83
9/14/2018,45.99
9/17/2018,46.32
9/18/2018,45.93
9/19/2018,45.96
9/20/2018,46.64
9/21/2018,46.58
9/24/2018,46.07
9/25/2018,45.68
9/26/2018,45.85
9/27/2018,46.01
9/28/2018,46.19
10/1/2018,46.23
10/2/2018,46.51
10/3/2018,45.87
10/4/2018,45.85
10/5/2018,45.88
10/8/2018,46.48
10/9/2018,46.39
10/10/2018,45.68
10/11/2018,44.64
10/12/2018,44.68
10/15/2018,44.91
10/16/2018,45.49
10/17/2018,45.86
10/18/2018,45.61
10/19/2018,46.33
10/22/2018,45.97
10/23/2018,46.36
10/24/2018,46.73
10/25/2018,46.51
10/26/2018,45.92
10/29/2018,46.46
10/30/2018,47.63
10/31/2018,47.88
11/1/2018,47.74
11/2/2018,48
11/5/2018,48.69
11/6/2018,49.11
11/7/2018,49.37
11/8/2018,49.33
11/9/2018,49.68
11/12/2018,49.87
11/13/2018,49.86
11/14/2018,49.76
11/15/2018,49.74
11/16/2018,50.17
11/19/2018,50.51
11/20/2018,49.38
11/21/2018,48.73
11/23/2018,49.02
11/26/2018,48.87
11/27/2018,49.37
11/28/2018,49.71
11/29/2018,48.98
11/30/2018,50.4
12/3/2018,49.69
12/4/2018,49.58
12/6/2018,49.38
12/7/2018,49.09
12/10/2018,49.24
12/11/2018,49.54
12/12/2018,49.22
12/13/2018,49.47
12/14/2018,49.34
12/17/2018,48.33
12/18/2018,48.32
12/19/2018,47.9
12/20/2018,47.54
12/21/2018,47.57
12/24/2018,45.96
12/26/2018,46.94
12/27/2018,47.53
12/28/2018,47.2
12/31/2018,47.35
1/2/2019,46.93
1/3/2019,46.64
1/4/2019,47.57
1/7/2019,46.95
1/8/2019,47.48
1/9/2019,46.57
1/10/2019,47.07
1/11/2019,47.34
1/14/2019,47.15
1/15/2019,47.57
1/16/2019,46.92
1/17/2019,47.06
1/18/2019,47.61
1/22/2019,47.72
1/23/2019,48.27
1/24/2019,47.69
1/25/2019,47.37
1/28/2019,47.17
1/29/2019,47.4
1/30/2019,47.86
1/31/2019,48.13
2/1/2019,48.7
2/4/2019,49.25
2/5/2019,49.26
2/6/2019,49.26
2/7/2019,49.42
2/8/2019,49.5
2/11/2019,49.61
2/12/2019,49.66
2/13/2019,49.79
2/14/2019,45.59
2/15/2019,45.24
2/19/2019,44.83
2/20/2019,45.1
2/21/2019,45.86
2/22/2019,45.28
2/25/2019,44.94
2/26/2019,44.69
2/27/2019,44.94
2/28/2019,45.34
3/1/2019,45.38
3/4/2019,45.65
3/5/2019,45.6
3/6/2019,45.45
3/7/2019,45.28
3/8/2019,44.84
3/11/2019,46.18
3/12/2019,46.05
3/13/2019,46.22
3/14/2019,45.7
3/15/2019,45.3
3/18/2019,45.41
3/19/2019,45.56
3/20/2019,45.53
3/21/2019,45.51
3/22/2019,45.93
3/25/2019,46.03
3/26/2019,46.64
3/27/2019,46.61
3/28/2019,46.58
3/29/2019,46.86
4/1/2019,46.72
4/2/2019,46.57
4/3/2019,46.18
4/4/2019,46.48
4/5/2019,46.47
4/8/2019,46.55
4/9/2019,46.67
4/10/2019,46.64
4/11/2019,46.71
4/12/2019,46.74
4/15/2019,47
4/16/2019,46.95
4/17/2019,47.28
4/18/2019,47.48
4/22/2019,47.4
4/23/2019,48.21
4/24/2019,47.98
4/25/2019,47.84
4/26/2019,48.26
4/29/2019,48.42
4/30/2019,49.06
5/1/2019,48.59
5/2/2019,48.39
5/3/2019,48.72
5/6/2019,48.47
5/7/2019,48
5/8/2019,47.85
